93, 618897.45, 4204377.764, 0.71, 0.95, 2.51, 2.99, 3.42, 2.12  
94, 618892.143, 4204377.452, 0.53, 0.67, 2.31, 2.72, 3.19, 1.88  
95, 618886.646, 4204378.468, 0.70, 0.94, 2.50, 2.98, 3.41, 2.10  
96, 618881.468, 4204377.297, 0.28, 0.28, 2.04, 2.36, 2.87, 1.56  
97, 618875.861, 4204378.921, 0.24, 0.21, 1.99, 2.30, 2.82, 1.51  
98, 618870.356, 4204378.026, 0.35, 0.39, 2.12, 2.46, 2.96, 1.65  
99, 618864.915, 4204379.033, 0.37, 0.42, 2.14, 2.49, 2.98, 1.68  
100, 618859.328, 4204379.019, 0.53, 0.67, 2.31, 2.72, 3.19, 1.88  
101, 618854.053, 4204378.639, 0.17, 0.11, 1.92, 2.20, 2.73, 1.43  
102, 618848.696, 4204379.143, 0.19, 0.14, 1.94, 2.23, 2.76, 1.45  
103, 618843.73, 4204378.083, 0.37, 0.42, 2.14, 2.49, 2.98, 1.68  
104, 618838.181, 4204378.764, 0.16, 0.10, 1.91, 2.19, 2.72, 1.42  
105, 618832.692, 4204377.317, 0.23, 0.20, 1.99, 2.29, 2.81, 1.51  
106, 618825.738, 4204374.479, 0.96, 1.33, 2.77, 3.34, 3.72, 2.42  
107, 618826.82, 4204369.848, 0.96, 1.33, 2.77, 3.34, 3.73, 2.43  
108, 618825.998, 4204364.432, 1.38, 1.98, 3.22, 3.94, 4.25, 2.95  
109, 618826.889, 4204359.589, 1.09, 1.54, 2.91, 3.53, 3.89, 2.59  
110, 618825.804, 4204354.087, 1.37, 1.97, 3.21, 3.93, 4.24, 2.95  
111, 618826.521, 4204349.279, 1.15, 1.62, 2.98, 3.62, 3.97, 2.67  
112, 618825.813, 4204343.742, 1.32, 1.89, 3.16, 3.86, 4.18, 2.88  
113, 618826.329, 4204338.556, 0.86, 1.18, 2.66, 3.20, 3.60, 2.30  
114, 618825.911, 4204333.581, 0.96, 1.33, 2.77, 3.34, 3.72, 2.42  
115, 618825.762, 4204328.527, 1.12, 1.58, 2.94, 3.57, 3.93, 2.63  
116, 618825.717, 4204323.722, 0.94, 1.30, 2.75, 3.31, 3.70, 2.40  
117, 618825.276, 4204319.359, 1.55, 2.24, 3.40, 4.19, 4.46, 3.17  
118, 618826.17, 4204314.869, 1.62, 2.34, 3.47, 4.28, 4.55, 3.25  
119, 618826.035, 4204311.993, 1.62, 2.36, 3.48, 4.30, 4.56, 3.27  
120, 618829.96, 4204312.908, 1.41, 2.03, 3.25, 3.99, 4.29, 3.00  
121, 618835.055, 4204312.066, 1.13, 1.59, 2.95, 3.59, 3.94, 2.64  
122, 618839.805, 4204312.966, 0.45, 0.55, 2.23, 2.61, 3.09, 1.79  
123, 618844.978, 4204312.59, 0.62, 0.81, 2.41, 2.86, 3.31, 2.00  
124, 618849.812, 4204313.19, 0.87, 1.20, 2.68, 3.22, 3.62, 2.32  
125, 618855.297, 4204312.71, 0.75, 1.01, 2.55, 3.05, 3.47, 2.17  
126, 618860.256, 4204313.322, 0.33, 0.35, 2.09, 2.43, 2.93, 1.63  
127, 618865.736, 4204313.436, 0.61, 0.78, 2.39, 2.83, 3.28, 1.98  
128, 618870.719, 4204312.742, 0.35, 0.39, 2.12, 2.46, 2.96, 1.65  
129, 618875.584, 4204313.323, 0.61, 0.79, 2.40, 2.84, 3.29, 1.98  
130, 618880.773, 4204312.648, 0.50, 0.62, 2.28, 2.68, 3.15, 1.84  
131, 618886.18, 4204313.235, 0.22, 0.18, 1.98, 2.28, 2.79, 1.49  
132, 618891.396, 4204312.83, 0.71, 0.95, 2.51, 2.99, 3.42, 2.11  
133, 618896.257, 4204314.006, 0.99, 1.38, 2.80, 3.39, 3.77, 2.47  
134, 618901.488, 4204312.995, 0.92, 1.26, 2.72, 3.28, 3.67, 2.37  
135, 618906.352, 4204314.289, 0.86, 1.17, 2.66, 3.20, 3.60, 2.30  
136, 618911.583, 4204313.331, 0.88, 1.21, 2.69, 3.23, 3.63, 2.33  
137, 618916.424, 4204314.455, 1.14, 1.61, 2.96, 3.60, 3.95, 2.65  
138, 618921.745, 4204314.143, 1.22, 1.74, 3.05, 3.72, 4.06, 2.76  
139, 618926.758, 4204314.597, 1.16, 1.64, 2.99, 3.63, 3.98, 2.68  
140, 618932.02, 4204314.489, 1.20, 1.71, 3.03, 3.69, 4.04, 2.74  
141, 618937.056, 4204314.427, 1.26, 1.80, 3.10, 3.78, 4.11, 2.81  
142, 618942.365, 4204315.0, 1.33, 1.90, 3.16, 3.87, 4.19, 2.89  
143, 618947.408, 4204314.328, 1.83, 2.68, 3.71, 4.59, 4.82, 3.53  
144, 618952.638, 4204315.397, 1.56, 2.25, 3.41, 4.20, 4.48, 3.18  
145, 618957.752, 4204314.574, 1.29, 1.85, 3.13, 3.82, 4.15, 2.85  
146, 618962.738, 4204315.425, 1.38, 1.98, 3.22, 3.94, 4.25, 2.96  
147, 618967.991, 4204314.608, 0.65, 0.86, 2.44, 2.90, 3.34, 2.04  
148, 618973.164, 4204316.038, 0.80, 1.09, 2.60, 3.12, 3.53, 2.23  
149, 618978.88, 4204315.104, 1.11, 1.56, 2.93, 3.55, 3.91, 2.61  
150, 618984.063, 4204316.479, 1.81, 2.64, 3.68, 4.56, 4.79, 3.50  
151, 618989.321, 4204315.403, 2.07, 3.05, 3.96, 4.94, 5.12, 3.83  
152, 618994.201, 4204316.44, 2.37, 3.51, 4.29, 5.37, 5.50, 4.21  
153, 618999.393, 4204314.927, 2.74, 4.07, 4.68, 5.90, 5.96, 4.67  
154, 619004.483, 4204316.451, 2.65, 3.94, 4.59, 5.77, 5.85, 4.56  
155, 619009.961, 4204315.524, 2.72, 4.04, 4.66, 5.87, 5.93, 4.64  
156, 619015.078, 4204316.583, 3.07, 4.59, 5.03, 6.38, 6.38, 5.09  
157, 619020.616, 4204315.244, 3.52, 5.29, 5.52, 7.03, 6.95, 5.66  
158, 619026.166, 4204316.435, 3.68, 5.54, 5.69, 7.26, 7.15, 5.86  
159, 619031.137, 4204315.299, 3.91, 5.88, 5.93, 7.58, 7.43, 6.15  
